date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:10:19	23224/23224	---M--	200	added ('OK')	font/woff	etag:%225e94ba9c-5ab8%22	https://mittrayash.github.io/css/fonts/aileron_regular-webfont.woff	E:/portfolio/pert/mittrayash.github.io/css/fonts/aileron_regular-webfont.woff	(from https://mittrayash.github.io/css/style.css)
00:10:19	60259/60259	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e94ba9c-eb63%22	https://mittrayash.github.io/css/fonts/aileron_regular-webfont.svg	E:/portfolio/pert/mittrayash.github.io/css/fonts/aileron_regular-webfont.svg	(from https://mittrayash.github.io/css/style.css)
00:10:20	20951/20951	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e94ba9c-51d7%22	https://mittrayash.github.io/css/fonts/montserrat-bold-webfont.eot?	E:/portfolio/pert/mittrayash.github.io/css/fonts/montserrat-bold-webfontd41d.eot	(from https://mittrayash.github.io/css/style.css)
00:10:20	42508/42508	---M-Z	200	added ('OK')	font/ttf	etag:W/%225e94ba9c-a60c%22	https://mittrayash.github.io/css/fonts/aileron_regular-webfont.ttf	E:/portfolio/pert/mittrayash.github.io/css/fonts/aileron_regular-webfont.ttf	(from https://mittrayash.github.io/css/style.css)
00:10:20	20951/20951	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e94ba9c-51d7%22	https://mittrayash.github.io/css/fonts/montserrat-bold-webfont.eot	E:/portfolio/pert/mittrayash.github.io/css/fonts/montserrat-bold-webfont.eot	(from https://mittrayash.github.io/css/style.css)
00:10:21	18556/18556	---M--	200	added ('OK')	font/woff2	etag:%225e94ba9c-487c%22	https://mittrayash.github.io/css/fonts/montserrat-bold-webfont.woff2	E:/portfolio/pert/mittrayash.github.io/css/fonts/montserrat-bold-webfont.woff2	(from https://mittrayash.github.io/css/style.css)
00:10:22	24524/24524	---M--	200	added ('OK')	font/woff	etag:%225e94ba9c-5fcc%22	https://mittrayash.github.io/css/fonts/montserrat-bold-webfont.woff	E:/portfolio/pert/mittrayash.github.io/css/fonts/montserrat-bold-webfont.woff	(from https://mittrayash.github.io/css/style.css)
00:10:23	70019/70019	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e94ba9c-11183%22	https://mittrayash.github.io/css/fonts/montserrat-bold-webfont.svg	E:/portfolio/pert/mittrayash.github.io/css/fonts/montserrat-bold-webfont.svg	(from https://mittrayash.github.io/css/style.css)
00:10:24	29019/29019	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e94ba9c-715b%22	https://mittrayash.github.io/css/fonts/raleway-regular-webfont.eot	E:/portfolio/pert/mittrayash.github.io/css/fonts/raleway-regular-webfont.eot	(from https://mittrayash.github.io/css/style.css)
00:10:24	44460/44460	---M-Z	200	added ('OK')	font/ttf	etag:W/%225e94ba9c-adac%22	https://mittrayash.github.io/css/fonts/montserrat-bold-webfont.ttf	E:/portfolio/pert/mittrayash.github.io/css/fonts/montserrat-bold-webfont.ttf	(from https://mittrayash.github.io/css/style.css)
